Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 11/22  05:00:00,0.881183359598,8.20504436494,0.0,7.84088363944,0.0,0.264916897559,0.264916897559,0.264916897559,0.103877702561,0.0236708606957,0.0930553522885,0.372262546493
 11/22  06:00:00,0.941783479254,8.21231617876,0.0,7.53889331195,0.0,0.254708315627,0.254708315627,0.254708315627,0.114265468846,0.026037950125,0.107956661861,0.415415082795
 11/22  07:00:00,1.18734947297,9.25442117796,0.0,8.00497206513,0.0,0.270445301916,0.270445301916,0.270445301916,0.197367690954,0.044974641125,0.171190561876,0.479971277101
 11/22  08:00:00,1.49079946053,6.8997060821,0.0,5.48926532203,0.0,0.185450761249,0.185450761249,0.185450761249,0.384347484084,0.087582195875,0.262513576959,0.510005442367
 11/22  09:00:00,1.34222005361,4.15070304598,0.0,2.78490622274,0.0,0.0940631669468,0.0940631669468,0.0940631669468,0.373959717799,0.0852151095,0.334401916637,0.431180142723
 11/22  10:00:00,1.08938131858,2.35332897253,0.0,1.11591272524,0.0,0.0376807145883,0.0376807145883,0.0376807145883,0.207755457239,0.0473417275,0.406234250548,0.366969168707
 11/22  11:00:00,1.03872822034,1.09010967099,0.0,0.0,0.0,0.0,0.0,0.0,0.176592026845,0.040240468375,0.422896049148,0.375599675967
 11/22  12:00:00,1.05765986264,0.956979736398,0.0,0.0,0.0,0.0,0.0,0.0,0.176592026845,0.040240468375,0.441712618022,0.375714749397
 11/22  13:00:00,1.04144055656,0.852531102958,0.0,0.0,0.0,0.0,0.0,0.0,0.176592026845,0.040240468375,0.431822350603,0.36938571074
 11/22  14:00:00,1.01474982836,0.79127573362,0.0,0.0,0.0,0.0,0.0,0.0,0.176592026845,0.040240468375,0.392358471658,0.382158861485
 11/22  15:00:00,1.03211134815,0.731056965242,0.0,0.0,0.0,0.0,0.0,0.0,0.197367690954,0.044974641125,0.362691423146,0.403677592921
 11/22  16:00:00,1.16857433161,0.740066205825,0.0,0.0,0.0,0.0,0.0,0.0,0.280469821234,0.063911332125,0.374676266453,0.426116911797
 11/22  17:00:00,1.58697418726,0.818707074463,0.0,0.0,0.0,0.0,0.0,0.0,0.509000679504,0.115987232375,0.434564651377,0.504021624
 11/22  18:00:00,2.28770672763,0.98287478006,0.0,0.0,0.0,0.0,0.0,0.0,0.90373593237,0.205936484082,0.542328589423,0.612305721759
 11/22  19:00:00,2.7251974598,1.13230470682,0.0,0.00162882680445,0.0,5.49939451493e-05,5.49939451493e-05,5.49939451493e-05,1.23614458753,0.281683278625,0.489135393799,0.664779205901
 11/22  20:00:00,2.62781357928,1.3835769886,0.0,0.228545427677,0.0,0.00772031317772,0.00772031317772,0.00772031317772,1.23614458753,0.281683278625,0.392682536045,0.686182863907
 11/22  21:00:00,2.54749054799,2.99148968197,0.0,1.92162977725,0.0,0.0649444810227,0.0649444810227,0.0649444810227,1.14265468846,0.26037950125,0.346338960163,0.709772917085
 11/22  22:00:00,2.34100997056,4.29332343866,0.0,3.33001626524,0.0,0.112582682066,0.112582682066,0.112582682066,0.966062661619,0.220139032875,0.325623250854,0.693202343145
 11/22  23:00:00,1.89381514834,4.54270565621,0.0,3.75387798411,0.0,0.126922827983,0.126922827983,0.126922827983,0.71675613924,0.163328959875,0.263529429942,0.599877791304
 11/22  24:00:00,1.48087652014,4.84548818931,0.0,4.24382410367,0.0,0.143482320202,0.143482320202,0.143482320202,0.498612913219,0.113620146,0.180478502199,0.521282638521
 11/23  01:00:00,1.07939570913,5.84531383146,0.0,5.44186521528,0.0,0.183971212538,0.183971212538,0.183971212538,0.259694288664,0.059177159375,0.121972905831,0.431180142723
 11/23  02:00:00,0.924351077603,6.45445467409,0.0,6.14098462473,0.0,0.207599248907,0.207599248907,0.207599248907,0.155816494275,0.035506295625,0.105025704823,0.397003333973
 11/23  03:00:00,0.875198848664,7.4425821524,0.0,7.15358061159,0.0,0.241824244909,0.241824244909,0.241824244909,0.103877702561,0.0236708606957,0.0900256437303,0.392400396767
 11/23  04:00:00,0.89400384616,8.43149406713,0.0,8.13623217948,0.0,0.275047599214,0.275047599214,0.275047599214,0.103877702561,0.0236708606957,0.0811308115684,0.386876872121
 11/23  05:00:00,0.926958172708,9.55431040835,0.0,9.1900928407,0.0,0.31069171067,0.31069171067,0.31069171067,0.103877702561,0.0236708606957,0.0930553522885,0.372262546493
